Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
10001,"GENET, LAKESHA",F,"$75,000.00 ",HHS,Department of Health and Human Services,Chief Operating Officer,Fulltime-Regular,Program Manager II,JENNIFER MARTINEZ,Filled,11/16/2014,11/29/2014,12/10/2014,12/27/2014,1/9/2015,1/20/2015,1/25/2015,1/30/2015
10002,"LEQUIRE, JOSEPHINE",F,"$80,000.00 ",HHS,Department of Health and Human Services,Senior Health Promotion,Fulltime-Regular,Program Manager I,MARIA TAYLOR,Filled,11/25/2014,12/11/2014,12/17/2014,1/7/2015,1/17/2015,1/20/2015,1/24/2015,1/30/2015
10003,"SCHIMEL, TERRELL",M,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/10/2014,11/23/2014,12/8/2014,12/25/2014,1/6/2015,1/12/2015,1/24/2015,1/30/2015
10004,"HELLWEGE, CHAU",F,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/19/2014,11/28/2014,12/6/2014,12/24/2014,1/5/2015,1/14/2015,1/23/2015,1/30/2015
10005,"GIRSCH, CLINTON",M,"$39,062.00 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/13/2014,11/23/2014,12/6/2014,12/25/2014,1/5/2015,1/11/2015,1/23/2015,1/30/2015
10006,"MANGOLD, NIGEL",M,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,12/7/2014,12/14/2014,12/17/2014,1/4/2015,1/14/2015,1/17/2015,1/22/2015,1/30/2015
10007,"PANITZ, LUPITA",F,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/17/2014,12/7/2014,12/11/2014,12/31/2014,1/5/2015,1/17/2015,1/22/2015,1/30/2015
10008,"MORIYAMA, COLEMAN",M,"$39,062.00 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/9/2014,11/17/2014,11/23/2014,12/18/2014,1/1/2015,1/16/2015,1/21/2015,1/30/2015
10009,"COTTINGTON, NADA",F,"$80,000.00 ",HHS,Department of Health and Human Services,African American Health Program,Fulltime-Regular,Program Manager II,RICHARD THOMAS,Filled,11/28/2014,12/13/2014,12/19/2014,1/4/2015,1/10/2015,1/14/2015,1/21/2015,1/30/2015
10010,"SCHEU, DEE",M,"$39,062.00 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/11/2014,11/22/2014,12/3/2014,12/21/2014,1/8/2015,1/13/2015,1/18/2015,1/30/2015
10011,"TREFT, PETER",M,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/17/2014,11/27/2014,12/3/2014,12/26/2014,1/6/2015,1/10/2015,1/18/2015,1/30/2015
10012,"ARBERRY, CORALIE",F,"$33,229.00 ",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,CHARLES MOORE,Filled,11/12/2014,11/28/2014,12/6/2014,12/26/2014,1/7/2015,1/9/2015,1/17/2015,1/30/2015
10013,"MEESTER, MANUELA",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,THOMAS WHITE,Filled,10/31/2014,11/8/2014,11/21/2014,12/14/2014,12/29/2014,1/8/2015,1/16/2015,1/30/2015
10014,"KNIAZ, MITTIE",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,CHARLES MOORE,Filled,11/23/2014,12/4/2014,12/9/2014,12/30/2014,1/9/2015,1/12/2015,1/15/2015,1/30/2015
10015,"LORBER, FRANKLYN",M,"$67,000.00 ",POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,12/3/2014,12/7/2014,12/13/2014,12/31/2014,1/5/2015,1/11/2015,1/15/2015,1/30/2015
10016,"PENGELLY, REED",M,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,11/8/2014,11/23/2014,11/30/2014,12/17/2014,12/31/2014,1/4/2015,1/15/2015,1/30/2015
10017,"NIEMIETZ, SHAROLYN",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,CHARLES MOORE,Filled,10/27/2014,11/8/2014,11/21/2014,12/9/2014,12/17/2014,12/29/2014,1/14/2015,1/30/2015
10018,"PALINSKY, ANGELE",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,10/27/2014,11/2/2014,11/10/2014,12/3/2014,12/16/2014,12/30/2014,1/13/2015,1/30/2015
10019,"BENKELMAN, CASSAUNDRA",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,10/30/2014,11/11/2014,11/27/2014,12/12/2014,12/26/2014,1/8/2015,1/12/2015,1/30/2015
10020,"GATTER, MARCY",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,11/7/2014,11/18/2014,11/26/2014,12/12/2014,12/30/2014,1/7/2015,1/12/2015,1/30/2015
10021,"ROOFNER, GWENDOLYN",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/30/2014,11/12/2014,11/26/2014,12/12/2014,12/28/2014,1/4/2015,1/12/2015,1/30/2015
10022,"ECKELBARGER, TESS",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,THOMAS WHITE,Filled,10/6/2014,10/21/2014,10/31/2014,11/19/2014,12/6/2014,12/21/2014,1/12/2015,1/30/2015
10023,"MACAN, LOIDA",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/20/2014,11/9/2014,11/22/2014,12/8/2014,12/22/2014,1/1/2015,1/11/2015,1/30/2015
10024,"DEPRATO, BASILIA",F,"$39,062.00 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/13/2014,11/3/2014,11/12/2014,12/4/2014,12/16/2014,12/30/2014,1/11/2015,1/30/2015
10025,"ITHIER, ADRIAN",M,"$65,500.00 ",POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,10/24/2014,11/9/2014,11/23/2014,12/11/2014,12/27/2014,1/3/2015,1/10/2015,1/30/2015
10026,"GOUSE, TAUNYA",F,"$36,000.00 ",HHS,Department of Health and Human Services,Juvenile Justice Services,Fulltime-Regular,Principal Administrative Aide,RICHARD THOMAS,Filled,12/7/2014,12/15/2014,12/17/2014,1/5/2015,1/18/2015,1/21/2015,1/25/2015,1/29/2015
10027,"DALLDORF, HARLEY",M,"$155,746.00 ",DOT,Department of Transportation,Parking Management,Fulltime-Regular,Manager II,BARBARA DAVIS,Filled,11/17/2014,11/28/2014,12/8/2014,12/23/2014,1/8/2015,1/17/2015,1/24/2015,1/29/2015
10028,"NOTHEIS, KATRICE",F,"$27,660.80 ",DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/10/2014,11/19/2014,11/28/2014,12/21/2014,1/4/2015,1/12/2015,1/23/2015,1/29/2015
10029,"HOERNING, SHAMEKA",F,"$61,200.00 ",FIN,Department of Finance,Operations and Administration - Risk Management,Fulltime-Regular,Program Specialist I,MICHAEL GARCIA,Filled,11/19/2014,12/4/2014,12/9/2014,12/27/2014,1/9/2015,1/15/2015,1/22/2015,1/29/2015
10030,"GRANDELL, ALBINA",F,"$43,860.00 ",PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist IV,THOMAS WHITE,Filled,10/22/2014,10/29/2014,11/11/2014,12/3/2014,12/16/2014,1/4/2015,1/22/2015,1/29/2015
10031,"MCCRANE, ABIGAIL",F,"$58,125.72 ",HHS,Department of Health and Human Services,Nurse Monitoring,Fulltime-Regular,Program Specialist II,RICHARD THOMAS,Filled,11/20/2014,12/1/2014,12/8/2014,12/28/2014,1/4/2015,1/7/2015,1/20/2015,1/29/2015
10032,"SPAEDER, THANH",M,"$88,842.00 ",MPB,Merit System Protection Board Department,Executive Secretary,Parttime-Regular,Manager II,SUSAN HERNANDEZ,Filled,10/31/2014,11/15/2014,11/25/2014,12/16/2014,12/27/2014,1/11/2015,1/19/2015,1/29/2015
